TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 262450726.43023 262450728.05075 262450729.67126998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
2.0 262450729.67126998 262450731.29178998 262450732.91230997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
3.0 262450732.91231 262450734.53283 262450736.15335 0.0 0.0 6915.361523906301 0.0 0.0 0.0
4.0 262450736.15335 262450737.77387 262450739.39439 0.0 0.0 6915.361523906301 0.0 0.0 0.0
5.0 262450739.39439 262450741.01490998 262450742.63542998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
6.0 262450742.63542998 262450744.25594997 262450745.87646997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
7.0 262450745.87647 262450747.49699 262450749.11751 0.0 0.0 6915.361523906301 0.0 0.0 0.0
8.0 262450749.11751 262450750.73803 262450752.35854998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
9.0 262450752.35854998 262450753.97906998 262450755.59958997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
10.0 262450755.59959 262450757.22011 262450758.84063 0.0 0.0 6915.361523906301 0.0 0.0 0.0
11.0 262450758.84063 262450760.46115 262450762.08167 0.0 0.0 6915.361523906301 0.0 0.0 0.0
12.0 262450762.08167 262450763.70218998 262450765.32270998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
13.0 262450765.32270998 262450766.94322997 262450768.56374997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
14.0 262450768.56375 262450770.18427 262450771.80479 0.0 0.0 6915.361523906301 0.0 0.0 0.0
15.0 262450771.80479 262450773.42531 262450775.04582998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
16.0 262450775.04582998 262450776.66634998 262450778.28686997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
17.0 262450778.28687 262450779.90739 262450781.52791 0.0 0.0 6915.361523906301 0.0 0.0 0.0
18.0 262450781.52791 262450783.14843 262450784.76895 0.0 0.0 6915.361523906301 0.0 0.0 0.0
19.0 262450784.76895 262450786.38946998 262450788.00998998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
20.0 262450788.00998998 262450789.63050997 262450791.25102997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
21.0 262450791.25103 262450792.87155 262450794.49207 0.0 0.0 6915.361523906301 0.0 0.0 0.0
22.0 262450794.49207 262450796.11259 262450797.73310998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
23.0 262450797.73310998 262450799.35362998 262450800.97414997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
24.0 262450800.97415 262450802.59467 262450804.21519 0.0 0.0 6915.361523906301 0.0 0.0 0.0
25.0 262450804.21519 262450805.83571 262450807.45622998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
26.0 262450807.45622998 262450809.07674998 262450810.69726998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
27.0 262450810.69727 262450812.31779 262450813.93831 0.0 0.0 6915.361523906301 0.0 0.0 0.0
28.0 262450813.93831 262450815.55883 262450817.17935 0.0 0.0 6915.361523906301 0.0 0.0 0.0
29.0 262450817.17935 262450818.79986998 262450820.42038998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
30.0 262450820.42038998 262450822.04090998 262450823.66142997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
31.0 262450823.66143 262450825.28195 262450826.90247 0.0 0.0 6915.361523906301 0.0 0.0 0.0
32.0 262450826.90247 262450828.52299 262450830.14350998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
33.0 262450830.14350998 262450831.76402998 262450833.38454998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
34.0 262450833.38455 262450835.00507 262450836.62559 0.0 0.0 6915.361523906301 0.0 0.0 0.0
35.0 262450836.62559 262450838.24611 262450839.86663 0.0 0.0 6915.361523906301 0.0 0.0 0.0
36.0 262450839.86663 262450841.48714998 262450843.10766998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
37.0 262450843.10766998 262450844.72818998 262450846.34870997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
38.0 262450846.34871 262450847.96923 262450849.58975 0.0 0.0 6915.361523906301 0.0 0.0 0.0
39.0 262450849.58975 262450851.21027 262450852.83078998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
40.0 262450852.83078998 262450854.45130998 262450856.07182997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
41.0 262450856.07183 262450857.69235 262450859.31287 0.0 0.0 6915.361523906301 0.0 0.0 0.0
42.0 262450859.31287 262450860.93339 262450862.55391 0.0 0.0 6915.361523906301 0.0 0.0 0.0
43.0 262450862.55391 262450864.17442998 262450865.79494998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
44.0 262450865.79494998 262450867.41546997 262450869.03598997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
45.0 262450869.03599 262450870.65651 262450872.27703 0.0 0.0 6915.361523906301 0.0 0.0 0.0
46.0 262450872.27703 262450873.89755 262450875.51806998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
47.0 262450875.51806998 262450877.13858998 262450878.75910997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
48.0 262450878.75911 262450880.37963 262450882.00015 0.0 0.0 6915.361523906301 0.0 0.0 0.0
49.0 262450882.00015 262450883.62067 262450885.24119 0.0 0.0 6915.361523906301 0.0 0.0 0.0
50.0 262450885.24119 262450886.86170998 262450888.48222998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
51.0 262450888.48222998 262450890.10274997 262450891.72326997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
52.0 262450891.72327 262450893.34379 262450894.96431 0.0 0.0 6915.361523906301 0.0 0.0 0.0
53.0 262450894.96431 262450896.58483 262450898.20534998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
54.0 262450898.20534998 262450899.82586998 262450901.44638997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
55.0 262450901.44639 262450903.06691 262450904.68743 0.0 0.0 6915.361523906301 0.0 0.0 0.0
56.0 262450904.68743 262450906.30795 262450907.92847 0.0 0.0 6915.361523906301 0.0 0.0 0.0
57.0 262450907.92847 262450909.54898998 262450911.16950998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
58.0 262450911.16950998 262450912.79002997 262450914.41054997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
59.0 262450914.41055 262450916.03107 262450917.65159 0.0 0.0 6915.361523906301 0.0 0.0 0.0
60.0 262450917.65159 262450919.27211 262450920.89262998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
61.0 262450920.89262998 262450922.51314998 262450924.13366997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
62.0 262450924.13367 262450925.75419 262450927.37471 0.0 0.0 6915.361523906301 0.0 0.0 0.0
63.0 262450927.37471 262450928.99523 262450930.61574998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
64.0 262450930.61574998 262450932.23626998 262450933.85678998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
65.0 262450933.85679 262450935.47731 262450937.09783 0.0 0.0 6915.361523906301 0.0 0.0 0.0
66.0 262450937.09783 262450938.71835 262450940.33887 0.0 0.0 6915.361523906301 0.0 0.0 0.0
67.0 262450940.33887 262450941.95938998 262450943.57990998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
68.0 262450943.57990998 262450945.20042998 262450946.82094997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
69.0 262450946.82095 262450948.44147 262450950.06199 0.0 0.0 6915.361523906301 0.0 0.0 0.0
70.0 262450950.06199 262450951.68251 262450953.30302998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
71.0 262450953.30302998 262450954.92354998 262450956.54406998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
72.0 262450956.54407 262450958.16459 262450959.78511 0.0 0.0 6915.361523906301 0.0 0.0 0.0
73.0 262450959.78511 262450961.40563 262450963.02615 0.0 0.0 6915.361523906301 0.0 0.0 0.0
74.0 262450963.02615 262450964.64666998 262450966.26718998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
75.0 262450966.26718998 262450967.88770998 262450969.50822997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
76.0 262450969.50823 262450971.12875 262450972.74927 0.0 0.0 6915.361523906301 0.0 0.0 0.0
77.0 262450972.74927 262450974.36979 262450975.99030998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
78.0 262450975.99030998 262450977.61082998 262450979.23134997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
79.0 262450979.23135 262450980.85187 262450982.47239 0.0 0.0 6915.361523906301 0.0 0.0 0.0
80.0 262450982.47239 262450984.09291 262450985.71343 0.0 0.0 6915.361523906301 0.0 0.0 0.0
81.0 262450985.71343 262450987.33394998 262450988.95446998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
82.0 262450988.95446998 262450990.57498997 262450992.19550997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
83.0 262450992.19551 262450993.81603 262450995.43655 0.0 0.0 6915.361523906301 0.0 0.0 0.0
84.0 262450995.43655 262450997.05707 262450998.67758998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
85.0 262450998.67758998 262451000.29810998 262451001.91862997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
86.0 262451001.91863 262451003.53915 262451005.15967 0.0 0.0 6915.361523906301 0.0 0.0 0.0
87.0 262451005.15967 262451006.78019 262451008.40071 0.0 0.0 6915.361523906301 0.0 0.0 0.0
88.0 262451008.40071 262451010.02122998 262451011.64174998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
89.0 262451011.64174998 262451013.26226997 262451014.88278997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
90.0 262451014.88279 262451016.50331 262451018.12383 0.0 0.0 6915.361523906301 0.0 0.0 0.0
91.0 262451018.12383 262451019.74435 262451021.36486998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
92.0 262451021.36486998 262451022.98538998 262451024.60590997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
93.0 262451024.60591 262451026.22643 262451027.84695 0.0 0.0 6915.361523906301 0.0 0.0 0.0
94.0 262451027.84695 262451029.46747 262451031.08799 0.0 0.0 6915.361523906301 0.0 0.0 0.0
95.0 262451031.08799 262451032.70850998 262451034.32902998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
96.0 262451034.32902998 262451035.94954997 262451037.57006997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
97.0 262451037.57007 262451039.19059 262451040.81111 0.0 0.0 6915.361523906301 0.0 0.0 0.0
98.0 262451040.81111 262451042.43163 262451044.05214998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
99.0 262451044.05214998 262451045.67266998 262451047.29318997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
100.0 262451047.29319 262451048.91371 262451050.53423 0.0 0.0 6915.361523906301 0.0 0.0 0.0
101.0 262451050.53423 262451052.15475 262451053.77527 0.0 0.0 6915.361523906301 0.0 0.0 0.0
102.0 262451053.77527 262451055.39578998 262451057.01630998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
103.0 262451057.01631 262451058.63683 262451060.25735 0.0 0.0 6915.361523906301 0.0 0.0 0.0
104.0 262451060.25735 262451061.87787 262451063.49839 0.0 0.0 6915.361523906301 0.0 0.0 0.0
105.0 262451063.49839 262451065.11890998 262451066.73942998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
106.0 262451066.73942998 262451068.35994998 262451069.98046997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
107.0 262451069.98047 262451071.60099 262451073.22151 0.0 0.0 6915.361523906301 0.0 0.0 0.0
108.0 262451073.22151 262451074.84203 262451076.46254998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
109.0 262451076.46254998 262451078.08306998 262451079.70358998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
110.0 262451079.70359 262451081.32411 262451082.94463 0.0 0.0 6915.361523906301 0.0 0.0 0.0
111.0 262451082.94463 262451084.56515 262451086.18567 0.0 0.0 6915.361523906301 0.0 0.0 0.0
112.0 262451086.18567 262451087.80618998 262451089.42670998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
113.0 262451089.42670998 262451091.04722998 262451092.66774997 0.0 0.0 6915.361523906301 0.0 0.0 0.0
114.0 262451092.66775 262451094.28827 262451095.90879 0.0 0.0 6915.361523906301 0.0 0.0 0.0
115.0 262451095.90879 262451097.52931 262451099.14982998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
116.0 262451099.14982998 262451100.77034998 262451102.39086998 0.0 0.0 6915.361523906301 0.0 0.0 0.0
117.0 262451102.39087 262451104.01139 262451105.63191 0.0 0.0 6915.361523906301 0.0 0.0 0.0
