TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 757923011.051 757923012.67152 757923014.29204 0.0 0.0 623.5053564331996 0.0 0.0 0.0
2.0 757923014.29204 757923015.91256 757923017.53308 0.0 0.0 623.5053564331996 0.0 0.0 0.0
3.0 757923017.53308 757923019.1536 757923020.77412 0.0 0.0 623.5053564331996 0.0 0.0 0.0
4.0 757923020.77412 757923022.39464 757923024.01516 0.0 0.0 623.5053564331996 0.0 0.0 0.0
5.0 757923024.01516 757923025.63568 757923027.2562 0.0 0.0 623.5053564331996 0.0 0.0 0.0
6.0 757923027.2562 757923028.87672 757923030.49724 0.0 0.0 623.5053564331996 0.0 0.0 0.0
7.0 757923030.49724 757923032.11776 757923033.7382799 0.0 0.0 623.5053564331996 0.0 0.0 0.0
8.0 757923033.73828 757923035.3588 757923036.97932 0.0 0.0 623.5053564331996 0.0 0.0 0.0
9.0 757923036.97932 757923038.59984 757923040.22036 0.0 0.0 623.5053564331996 0.0 0.0 0.0
10.0 757923040.22036 757923041.84088 757923043.4614 0.0 0.0 623.5053564331996 0.0 0.0 0.0
11.0 757923043.4614 757923045.08192 757923046.70244 0.0 0.0 623.5053564331996 0.0 0.0 0.0
12.0 757923046.70244 757923048.32296 757923049.94348 0.0 0.0 623.5053564331996 0.0 0.0 0.0
13.0 757923049.94348 757923051.564 757923053.18452 0.0 0.0 623.5053564331996 0.0 0.0 0.0
14.0 757923053.18452 757923054.80504 757923056.42556 0.0 0.0 623.5053564331996 0.0 0.0 0.0
15.0 757923056.42556 757923058.04608 757923059.6666 0.0 0.0 623.5053564331996 0.0 0.0 0.0
16.0 757923059.6666 757923061.28712 757923062.90764 0.0 0.0 623.5053564331996 0.0 0.0 0.0
17.0 757923062.90764 757923064.52816 757923066.14868 0.0 0.0 623.5053564331996 0.0 0.0 0.0
18.0 757923066.14868 757923067.7692 757923069.38972 0.0 0.0 623.5053564331996 0.0 0.0 0.0
19.0 757923069.38972 757923071.01024 757923072.63076 0.0 0.0 623.5053564331996 0.0 0.0 0.0
20.0 757923072.63076 757923074.25128 757923075.8718 0.0 0.0 623.5053564331996 0.0 0.0 0.0
21.0 757923075.8718 757923077.49232 757923079.1128399 0.0 0.0 623.5053564331996 0.0 0.0 0.0
22.0 757923079.11284 757923080.73336 757923082.35388 0.0 0.0 623.5053564331996 0.0 0.0 0.0
23.0 757923082.35388 757923083.9744 757923085.59492 0.0 0.0 623.5053564331996 0.0 0.0 0.0
24.0 757923085.59492 757923087.21544 757923088.83596 0.0 0.0 623.5053564331996 0.0 0.0 0.0
25.0 757923088.83596 757923090.45648 757923092.077 0.0 0.0 623.5053564331996 0.0 0.0 0.0
26.0 757923092.077 757923093.69752 757923095.31804 0.0 0.0 623.5053564331996 0.0 0.0 0.0
27.0 757923095.31804 757923096.93856 757923098.55908 0.0 0.0 623.5053564331996 0.0 0.0 0.0
28.0 757923098.55908 757923100.1796 757923101.80012 0.0 0.0 623.5053564331996 0.0 0.0 0.0
29.0 757923101.80012 757923103.42064 757923105.04116 0.0 0.0 623.5053564331996 0.0 0.0 0.0
30.0 757923105.04116 757923106.66168 757923108.2822 0.0 0.0 623.5053564331996 0.0 0.0 0.0
31.0 757923108.2822 757923109.90272 757923111.52324 0.0 0.0 623.5053564331996 0.0 0.0 0.0
32.0 757923111.52324 757923113.14376 757923114.76428 0.0 0.0 623.5053564331996 0.0 0.0 0.0
33.0 757923114.76428 757923116.3848 757923118.00532 0.0 0.0 623.5053564331996 0.0 0.0 0.0
34.0 757923118.00532 757923119.62584 757923121.24636 0.0 0.0 623.5053564331996 0.0 0.0 0.0
35.0 757923121.24636 757923122.8668799 757923124.4873999 0.0 0.0 623.5053564331996 0.0 0.0 0.0
36.0 757923124.4874 757923126.10792 757923127.72844 0.0 0.0 623.5053564331996 0.0 0.0 0.0
37.0 757923127.72844 757923129.34896 757923130.96948 0.0 0.0 623.5053564331996 0.0 0.0 0.0
38.0 757923130.96948 757923132.59 757923134.21052 0.0 0.0 623.5053564331996 0.0 0.0 0.0
39.0 757923134.21052 757923135.83104 757923137.45156 0.0 0.0 623.5053564331996 0.0 0.0 0.0
40.0 757923137.45156 757923139.07208 757923140.6926 0.0 0.0 623.5053564331996 0.0 0.0 0.0
41.0 757923140.6926 757923142.31312 757923143.93364 0.0 0.0 623.5053564331996 0.0 0.0 0.0
42.0 757923143.93364 757923145.55416 757923147.17468 0.0 0.0 623.5053564331996 0.0 0.0 0.0
43.0 757923147.17468 757923148.7952 757923150.41572 0.0 0.0 623.5053564331996 0.0 0.0 0.0
44.0 757923150.41572 757923152.03624 757923153.65676 0.0 0.0 623.5053564331996 0.0 0.0 0.0
45.0 757923153.65676 757923155.27728 757923156.8978 0.0 0.0 623.5053564331996 0.0 0.0 0.0
46.0 757923156.8978 757923158.51832 757923160.13884 0.0 0.0 623.5053564331996 0.0 0.0 0.0
47.0 757923160.13884 757923161.75936 757923163.37988 0.0 0.0 623.5053564331996 0.0 0.0 0.0
48.0 757923163.37988 757923165.0004 757923166.62092 0.0 0.0 623.5053564331996 0.0 0.0 0.0
49.0 757923166.62092 757923168.2414399 757923169.8619599 0.0 0.0 623.5053564331996 0.0 0.0 0.0
50.0 757923169.86196 757923171.48248 757923173.103 0.0 0.0 623.5053564331996 0.0 0.0 0.0
51.0 757923173.103 757923174.72352 757923176.34404 0.0 0.0 623.5053564331996 0.0 0.0 0.0
52.0 757923176.34404 757923177.96456 757923179.58508 0.0 0.0 623.5053564331996 0.0 0.0 0.0
53.0 757923179.58508 757923181.2056 757923182.82612 0.0 0.0 623.5053564331996 0.0 0.0 0.0
54.0 757923182.82612 757923184.44664 757923186.06716 0.0 0.0 623.5053564331996 0.0 0.0 0.0
55.0 757923186.06716 757923187.68768 757923189.3082 0.0 0.0 623.5053564331996 0.0 0.0 0.0
56.0 757923189.3082 757923190.92872 757923192.54924 0.0 0.0 623.5053564331996 0.0 0.0 0.0
57.0 757923192.54924 757923194.16976 757923195.79028 0.0 0.0 623.5053564331996 0.0 0.0 0.0
58.0 757923195.79028 757923197.4108 757923199.03132 0.0 0.0 623.5053564331996 0.0 0.0 0.0
59.0 757923199.03132 757923200.65184 757923202.27236 0.0 0.0 623.5053564331996 0.0 0.0 0.0
60.0 757923202.27236 757923203.89288 757923205.5134 0.0 0.0 623.5053564331996 0.0 0.0 0.0
61.0 757923205.5134 757923207.13392 757923208.75444 0.0 0.0 623.5053564331996 0.0 0.0 0.0
62.0 757923208.75444 757923210.37496 757923211.99548 0.0 0.0 623.5053564331996 0.0 0.0 0.0
63.0 757923211.99548 757923213.6159999 757923215.2365199 0.0 0.0 623.5053564331996 0.0 0.0 0.0
64.0 757923215.23652 757923216.85704 757923218.47756 0.0 0.0 623.5053564331996 0.0 0.0 0.0
65.0 757923218.47756 757923220.09808 757923221.7186 0.0 0.0 623.5053564331996 0.0 0.0 0.0
66.0 757923221.7186 757923223.33912 757923224.95964 0.0 0.0 623.5053564331996 0.0 0.0 0.0
67.0 757923224.95964 757923226.58016 757923228.20068 0.0 0.0 623.5053564331996 0.0 0.0 0.0
68.0 757923228.20068 757923229.8212 757923231.44172 0.0 0.0 623.5053564331996 0.0 0.0 0.0
69.0 757923231.44172 757923233.06224 757923234.68276 0.0 0.0 623.5053564331996 0.0 0.0 0.0
70.0 757923234.68276 757923236.30328 757923237.9238 0.0 0.0 623.5053564331996 0.0 0.0 0.0
71.0 757923237.9238 757923239.54432 757923241.16484 0.0 0.0 623.5053564331996 0.0 0.0 0.0
72.0 757923241.16484 757923242.78536 757923244.40588 0.0 0.0 623.5053564331996 0.0 0.0 0.0
73.0 757923244.40588 757923246.0264 757923247.64692 0.0 0.0 623.5053564331996 0.0 0.0 0.0
74.0 757923247.64692 757923249.26744 757923250.88796 0.0 0.0 623.5053564331996 0.0 0.0 0.0
75.0 757923250.88796 757923252.50848 757923254.129 0.0 0.0 623.5053564331996 0.0 0.0 0.0
76.0 757923254.129 757923255.74952 757923257.3700399 0.0 0.0 623.5053564331996 0.0 0.0 0.0
77.0 757923257.3700399 757923258.9905599 757923260.6110799 0.0 0.0 623.5053564331996 0.0 0.0 0.0
78.0 757923260.61108 757923262.2316 757923263.85212 0.0 0.0 623.5053564331996 0.0 0.0 0.0
79.0 757923263.85212 757923265.47264 757923267.09316 0.0 0.0 623.5053564331996 0.0 0.0 0.0
80.0 757923267.09316 757923268.71368 757923270.3342 0.0 0.0 623.5053564331996 0.0 0.0 0.0
81.0 757923270.3342 757923271.95472 757923273.57524 0.0 0.0 623.5053564331996 0.0 0.0 0.0
82.0 757923273.57524 757923275.19576 757923276.81628 0.0 0.0 623.5053564331996 0.0 0.0 0.0
83.0 757923276.81628 757923278.4368 757923280.05732 0.0 0.0 623.5053564331996 0.0 0.0 0.0
84.0 757923280.05732 757923281.67784 757923283.29836 0.0 0.0 623.5053564331996 0.0 0.0 0.0
85.0 757923283.29836 757923284.91888 757923286.5394 0.0 0.0 623.5053564331996 0.0 0.0 0.0
86.0 757923286.5394 757923288.15992 757923289.78044 0.0 0.0 623.5053564331996 0.0 0.0 0.0
87.0 757923289.78044 757923291.40096 757923293.02148 0.0 0.0 623.5053564331996 0.0 0.0 0.0
88.0 757923293.02148 757923294.642 757923296.26252 0.0 0.0 623.5053564331996 0.0 0.0 0.0
